,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.20152692308
21,1.20152692308
22,1.20152692308
23,1.20152692308
24,1.20152692308
25,1.20152692308
26,1.20152692308
27,1.20152692308
28,1.20152692308
29,1.20152692308
30,1.20152692308
31,1.20152692308
32,1.20152692308
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.310124285714
70,0.310124285714
71,0.310124285714
72,0.310124285714
73,0.310124285714
74,0.310124285714
75,0.310124285714
76,0.128334
77,0.128334
78,0.128334
79,0.128334
80,0.128334
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.360271875
115,0.360271875
116,0.360271875
117,0.360271875
118,0.360271875
119,0.360271875
120,0.360271875
121,0.360271875
122,0.360271875
123,0.360271875
124,0.360271875
125,0.360271875
126,0.360271875
127,0.360271875
128,0.360271875
129,0.360271875
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.820664285714
160,0.820664285714
161,0.820664285714
162,0.820664285714
163,0.820664285714
164,0.820664285714
165,0.820664285714
166,0.820664285714
167,0.820664285714
168,0.820664285714
169,0.820664285714
170,0.820664285714
171,0.820664285714
172,0.820664285714
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.592852
208,0.592852
209,0.592852
210,0.592852
211,0.592852
212,0.592852
213,0.592852
214,0.592852
215,0.592852
216,0.592852
217,0.592852
218,0.592852
219,0.592852
220,0.592852
221,0.592852
222,0.592852
223,0.592852
224,0.592852
225,0.592852
226,0.592852
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.59172
260,0.59172
261,0.59172
262,0.59172
263,0.59172
264,0.59172
265,0.59172
266,0.59172
267,0.59172
268,0.59172
269,0.59172
270,0.59172
271,0.59172
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,1.14943461538
306,1.14943461538
307,1.14943461538
308,1.14943461538
309,1.14943461538
310,1.14943461538
311,1.14943461538
312,1.14943461538
313,1.14943461538
314,1.14943461538
315,1.14943461538
316,1.14943461538
317,1.14943461538
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.224254761905
350,0.224254761905
351,0.224254761905
352,0.224254761905
353,0.224254761905
354,0.224254761905
355,0.224254761905
356,0.224254761905
357,0.224254761905
358,0.224254761905
359,0.224254761905
360,0.224254761905
361,0.224254761905
362,0.224254761905
363,0.224254761905
364,0.224254761905
365,0.224254761905
366,0.224254761905
367,0.224254761905
368,0.224254761905
369,0.224254761905
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.132107368421
400,0.132107368421
401,0.132107368421
402,0.132107368421
403,0.132107368421
404,0.132107368421
405,0.132107368421
406,0.132107368421
407,0.132107368421
408,0.132107368421
409,0.132107368421
410,0.132107368421
411,0.132107368421
412,0.132107368421
413,0.132107368421
414,0.132107368421
415,0.132107368421
416,0.132107368421
417,0.132107368421
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.862703333333
453,0.862703333333
454,0.862703333333
455,0.862703333333
456,0.862703333333
457,0.862703333333
458,0.862703333333
459,0.862703333333
460,0.862703333333
461,0.862703333333
462,0.862703333333
463,0.862703333333
464,0.862703333333
465,0.862703333333
466,0.862703333333
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,1.23898888889
497,1.23898888889
498,1.23898888889
499,1.23898888889
500,1.23898888889
501,1.23898888889
502,1.23898888889
503,1.23898888889
504,1.23898888889
